"","ResultID","AnomalyType"
"75","0029-200602150000-13411-LSR-ec","Lowest5%SubmValues"
"76","0029-200602150000-13411-LSR-ec","Lowest5%SubmStnValues"
"77","0029-200602150000-13428-LSR-ec","Lowest5%SubmStnValues"
"78","0029-200602150000-13430-LSR-ec","ViolatesLessProtectiveWQStandard"
"79","0029-200602150000-13432-LSR-ec","Highest90%SubmValues"
"80","0029-200602150000-13432-LSR-ec","Highest99%AmbientValues"
"81","0029-200602150000-13432-LSR-ec","ViolatesWQStandard"
"82","0029-200602150000-13477-LSR-ec","Lowest5%SubmValues"
"83","0029-200602150000-13484-LSR-ec","Lowest5%SubmStnValues"
"84","0029-200602150000-13513-LSR-ec","Lowest5%SubmValues"
"85","0029-200602150000-13513-LSR-ec","Lowest5%SubmStnValues"
"86","0029-200602150000-13513-LSR-ec","Lowest5%AmbientValues"
"87","0029-200602150000-33134-QLQD-ec","Lowest5%SubmStnValues"
"88","0029-200602150000-33134-LQD-ec","Lowest5%SubmStnValues"
"89","0029-200602150000-33136-LSR-ec","ViolatesLessProtectiveWQStandard"
"90","0029-200602150000-33137-QLQD-ec","Lowest5%SubmValues"
"91","0029-200602150000-33137-LQD-ec","Lowest5%SubmValues"
"92","0029-200602150000-33142-LSR-ec","Lowest5%SubmValues"
"93","0029-200602150000-33142-LSR-ec","Lowest5%AmbientValues"
"94","0029-200603150000-13077-LSR-ec","Lowest5%SubmValues"
"95","0029-200603150000-13430-LSR-ec","Highest95%AmbientValues"
"96","0029-200603150000-13430-LSR-ec","ViolatesWQStandard"
"97","0029-200603150000-13431-LSR-ec","ViolatesLessProtectiveWQStandard"
"98","0029-200603150000-13432-LSR-ec","Highest90%SubmValues"
"99","0029-200603150000-13432-LSR-ec","Highest99%AmbientValues"
"100","0029-200603150000-13432-LSR-ec","ViolatesWQStandard"
"101","0029-200603150000-13440-LSR-ec","ViolatesLessProtectiveWQStandard"
"102","0029-200603150000-13442-LSR-ec","ViolatesLessProtectiveWQStandard"
"103","0029-200603150000-13477-LSR-ec","Lowest10%SubmValues"
"104","0029-200603150000-13484-LSR-ec","Highest90%SubmValues"
"105","0029-200603150000-13484-LSR-ec","Highest99%AmbientValues"
"106","0029-200603150000-13484-LSR-ec","ViolatesWQStandard"
"107","0029-200603150000-13538-LSR-ec","Lowest5%SubmValues"
"108","0029-200603150000-13538-LSR-ec","Lowest5%SubmStnValues"
"109","0029-200603150000-13538-LSR-ec","Lowest5%AmbientValues"
"110","0029-200603150000-33134-QLQD-ec","Highest90%SubmValues"
"111","0029-200603150000-33134-QLQD-ec","Highest99%AmbientValues"
"112","0029-200603150000-33134-QLQD-ec","ViolatesWQStandard"
"113","0029-200603150000-33134-LQD-ec","Highest90%SubmValues"
"114","0029-200603150000-33134-LQD-ec","Highest99%AmbientValues"
"115","0029-200603150000-33134-LQD-ec","ViolatesWQStandard"
"116","0029-200603150000-33136-LSR-ec","ViolatesLessProtectiveWQStandard"
"117","0029-200603150000-33137-LSR-ec","Lowest10%SubmValues"
"118","0029-200603150000-33145-LSR-ec","Lowest5%SubmStnValues"
"119","0029-200603150000-33152-LSR-ec","Lowest10%SubmValues"
"120","0029-200603150000-33153-LSR-ec","Lowest10%SubmValues"
"121","0029-200603150000-33155-LSR-ec","ViolatesLessProtectiveWQStandard"
"122","0029-200603300000-13077-LSR-ec","Lowest5%SubmValues"
"123","0029-200603300000-13410-LSR-ec","Lowest10%SubmValues"
"124","0029-200603300000-13417-LSR-ec","Lowest10%SubmValues"
"125","0029-200603300000-13428-LSR-ec","ViolatesLessProtectiveWQStandard"
"126","0029-200603300000-13430-LSR-ec","Lowest5%SubmStnValues"
"127","0029-200603300000-13432-LSR-ec","ViolatesLessProtectiveWQStandard"
"128","0029-200603300000-13440-LSR-ec","Lowest5%SubmStnValues"
"129","0029-200603300000-13442-LSR-ec","Lowest5%SubmStnValues"
"130","0029-200603300000-13474-LSR-ec","Lowest10%SubmValues"
"131","0029-200603300000-13474-LSR-ec","Lowest5%SubmStnValues"
"132","0029-200603300000-13484-QLQD-ec","Lowest5%SubmStnValues"
"133","0029-200603300000-13484-LQD-ec","Lowest5%SubmStnValues"
"134","0029-200603300000-13499-QLQD-ec","Lowest5%SubmStnValues"
"135","0029-200603300000-13499-LQD-ec","Lowest5%SubmStnValues"
"136","0029-200603300000-13513-LSR-ec","Lowest5%SubmValues"
"137","0029-200603300000-13538-LSR-ec","Lowest10%SubmValues"
"138","0029-200603300000-33134-LSR-ec","ViolatesLessProtectiveWQStandard"
"139","0029-200603300000-33136-LSR-ec","ViolatesLessProtectiveWQStandard"
"140","0029-200603300000-33137-LSR-ec","Lowest5%SubmValues"
"141","0029-200603300000-33142-LSR-ec","Highest95%SubmStnValues"
"142","0029-200603300000-33142-LSR-ec","ViolatesLessProtectiveWQStandard"
"143","0029-200603300000-33145-LSR-ec","Lowest5%SubmStnValues"
"144","0029-200603300000-33152-LSR-ec","Lowest5%SubmValues"
"145","0029-200604120000-13077-LSR-ec","Lowest10%SubmValues"
"146","0029-200604120000-13430-LSR-ec","ViolatesLessProtectiveWQStandard"
"147","0029-200604120000-13432-LSR-ec","Highest90%SubmValues"
"148","0029-200604120000-13432-LSR-ec","Highest99%AmbientValues"
"149","0029-200604120000-13432-LSR-ec","ViolatesWQStandard"
"150","0029-200604120000-13438-LSR-ec","ViolatesLessProtectiveWQStandard"
"151","0029-200604120000-13442-QLQD-ec","Lowest5%SubmStnValues"
"152","0029-200604120000-13474-LSR-ec","ViolatesLessProtectiveWQStandard"
"153","0029-200604120000-13538-LSR-ec","Lowest10%SubmValues"
"154","0029-200604120000-33134-QLQD-ec","Lowest5%SubmStnValues"
"155","0029-200604120000-33134-LQD-ec","Lowest5%SubmStnValues"
"156","0029-200604120000-33145-LSR-ec","ViolatesLessProtectiveWQStandard"
"157","0029-200604120000-33147-LSR-ec","ViolatesLessProtectiveWQStandard"
"158","0029-200604120000-33148-LSR-ec","Lowest5%SubmStnValues"
"159","0029-200604120000-33152-LSR-ec","Lowest10%SubmValues"
"160","0029-200604190000-13410-LSR-ec","ViolatesLessProtectiveWQStandard"
"161","0029-200604190000-13469-LSR-ec","Lowest10%SubmValues"
"162","0029-200604190000-33141-LSR-ec","Lowest5%SubmValues"
"163","0029-200604190000-33141-LSR-ec","Lowest5%SubmStnValues"
"164","0029-200604190000-33142-LSR-ec","Lowest5%SubmValues"
"165","0029-200604260000-12832-LSR-ec","ViolatesLessProtectiveWQStandard"
"166","0029-200604260000-12848-LSR-ec","Lowest10%SubmValues"
"167","0029-200604260000-12848-LSR-ec","Lowest5%SubmStnValues"
"168","0029-200604260000-13077-LSR-ec","Lowest10%SubmValues"
"169","0029-200604260000-13078-LSR-ec","Highest90%SubmValues"
"170","0029-200604260000-13078-LSR-ec","Highest95%SubmStnValues"
"171","0029-200604260000-13078-LSR-ec","Highest99%AmbientValues"
"172","0029-200604260000-13078-LSR-ec","ViolatesWQStandard"
"173","0029-200604260000-13410-LSR-ec","Highest95%SubmStnValues"
"174","0029-200604260000-13410-LSR-ec","Highest95%AmbientValues"
"175","0029-200604260000-13410-LSR-ec","ViolatesWQStandard"
"176","0029-200604260000-13430-LSR-ec","Highest90%SubmValues"
"177","0029-200604260000-13430-LSR-ec","Highest99%AmbientValues"
"178","0029-200604260000-13430-LSR-ec","ViolatesWQStandard"
"179","0029-200604260000-13431-LSR-ec","Lowest5%SubmStnValues"
"180","0029-200604260000-13432-LSR-ec","Highest95%AmbientValues"
"181","0029-200604260000-13432-LSR-ec","ViolatesLessProtectiveWQStandard"
"182","0029-200604260000-13434-LSR-ec","ViolatesLessProtectiveWQStandard"
"183","0029-200604260000-13438-LSR-ec","ViolatesLessProtectiveWQStandard"
"184","0029-200604260000-13440-LSR-ec","ViolatesLessProtectiveWQStandard"
"185","0029-200604260000-13469-LSR-ec","Lowest10%SubmValues"
"186","0029-200604260000-13474-LSR-ec","Highest90%SubmValues"
"187","0029-200604260000-13474-LSR-ec","Highest99%AmbientValues"
"188","0029-200604260000-13474-LSR-ec","ViolatesWQStandard"
"189","0029-200604260000-13477-LSR-ec","Lowest5%SubmValues"
"190","0029-200604260000-13484-LSR-ec","ViolatesLessProtectiveWQStandard"
"191","0029-200604260000-13499-QLQD-ec","ViolatesLessProtectiveWQStandard"
"192","0029-200604260000-13499-LQD-ec","ViolatesLessProtectiveWQStandard"
"193","0029-200604260000-13513-LSR-ec","Lowest5%SubmValues"
"194","0029-200604260000-33134-QLQD-ec","Highest95%AmbientValues"
"195","0029-200604260000-33134-QLQD-ec","ViolatesWQStandard"
"196","0029-200604260000-33134-LQD-ec","Highest95%AmbientValues"
"197","0029-200604260000-33134-LQD-ec","ViolatesWQStandard"
"198","0029-200604260000-33140-LSR-ec","ViolatesLessProtectiveWQStandard"
"199","0029-200604260000-33142-LSR-ec","Lowest10%SubmValues"
"200","0029-200604260000-33145-LSR-ec","ViolatesLessProtectiveWQStandard"
"201","0029-200604260000-33155-LSR-ec","Lowest5%SubmStnValues"
"202","0029-200605030000-12832-LSR-ec","Lowest5%SubmStnValues"
"203","0029-200605030000-13430-QLQD-ec","ViolatesLessProtectiveWQStandard"
"204","0029-200605030000-13430-LQD-ec","ViolatesLessProtectiveWQStandard"
"205","0029-200605030000-13440-LSR-ec","ViolatesLessProtectiveWQStandard"
"206","0029-200605030000-13442-LSR-ec","ViolatesLessProtectiveWQStandard"
"207","0029-200605030000-13474-LSR-ec","Highest90%SubmValues"
"208","0029-200605030000-13474-LSR-ec","Highest99%AmbientValues"
"209","0029-200605030000-13474-LSR-ec","ViolatesWQStandard"
"210","0029-200605030000-13484-LSR-ec","ViolatesLessProtectiveWQStandard"
"211","0029-200605030000-13499-LSR-ec","Highest95%AmbientValues"
"212","0029-200605030000-13499-LSR-ec","ViolatesLessProtectiveWQStandard"
"213","0029-200605030000-33134-LSR-ec","ViolatesLessProtectiveWQStandard"
"214","0029-200605030000-33147-LSR-ec","ViolatesLessProtectiveWQStandard"
"215","0029-200605100000-13432-LSR-ec","Highest99%AmbientValues"
"216","0029-200605100000-13432-LSR-ec","ViolatesWQStandard"
"217","0029-200605100000-13434-LSR-ec","Highest95%AmbientValues"
"218","0029-200605100000-13434-LSR-ec","ViolatesLessProtectiveWQStandard"
"219","0029-200605100000-13469-LSR-ec","Lowest10%SubmValues"
"220","0029-200605100000-33140-LSR-ec","ViolatesLessProtectiveWQStandard"
"221","0029-200605100000-33141-LSR-ec","Highest95%SubmStnValues"
"222","0029-200605100000-33141-LSR-ec","Highest99%AmbientValues"
"223","0029-200605100000-33141-LSR-ec","ViolatesWQStandard"
"224","0029-200605100000-33142-LSR-ec","Lowest5%SubmValues"
"225","0029-200605100000-33142-LSR-ec","Lowest5%AmbientValues"
"226","0029-200605100000-33145-LSR-ec","Highest95%AmbientValues"
"227","0029-200605100000-33145-LSR-ec","ViolatesWQStandard"
"228","0029-200605170000-13078-LSR-ec","Highest95%AmbientValues"
"229","0029-200605170000-13078-LSR-ec","ViolatesWQStandard"
"230","0029-200605170000-13411-LSR-ec","ViolatesLessProtectiveWQStandard"
"231","0029-200605170000-13428-QLQD-ec","ViolatesLessProtectiveWQStandard"
"232","0029-200605170000-13428-LQD-ec","ViolatesLessProtectiveWQStandard"
"233","0029-200605170000-13430-LSR-ec","Highest95%AmbientValues"
"234","0029-200605170000-13430-LSR-ec","ViolatesWQStandard"
"235","0029-200605170000-13432-LSR-ec","Highest95%AmbientValues"
"236","0029-200605170000-13432-LSR-ec","ViolatesWQStandard"
"237","0029-200605170000-13433-LSR-ec","Highest95%SubmStnValues"
"238","0029-200605170000-13433-LSR-ec","Highest95%AmbientValues"
"239","0029-200605170000-13433-LSR-ec","ViolatesWQStandard"
"240","0029-200605170000-13434-LSR-ec","Highest99%AmbientValues"
"241","0029-200605170000-13434-LSR-ec","ViolatesWQStandard"
"242","0029-200605170000-13438-LSR-ec","ViolatesLessProtectiveWQStandard"
"243","0029-200605170000-13440-LSR-ec","Highest90%SubmValues"
"244","0029-200605170000-13440-LSR-ec","Highest99%AmbientValues"
"245","0029-200605170000-13440-LSR-ec","ViolatesWQStandard"
"246","0029-200605170000-13442-QLQD-ec","ViolatesLessProtectiveWQStandard"
"247","0029-200605170000-13442-LQD-ec","ViolatesLessProtectiveWQStandard"
"248","0029-200605170000-13484-LSR-ec","Highest95%AmbientValues"
"249","0029-200605170000-13484-LSR-ec","ViolatesWQStandard"
"250","0029-200605170000-13499-LSR-ec","Highest95%AmbientValues"
"251","0029-200605170000-13499-LSR-ec","ViolatesWQStandard"
"252","0029-200605170000-33134-LSR-ec","ViolatesLessProtectiveWQStandard"
"253","0029-200605170000-33140-QLQD-ec","ViolatesLessProtectiveWQStandard"
"254","0029-200605170000-33140-LQD-ec","ViolatesLessProtectiveWQStandard"
"255","0029-200605170000-33141-LSR-ec","Highest95%AmbientValues"
"256","0029-200605170000-33141-LSR-ec","ViolatesWQStandard"
"257","0029-200605170000-33145-LSR-ec","ViolatesLessProtectiveWQStandard"
"258","0029-200605170000-33147-LSR-ec","Highest95%AmbientValues"
"259","0029-200605170000-33147-LSR-ec","ViolatesWQStandard"
"260","0029-200605170000-33148-LSR-ec","Highest95%AmbientValues"
"261","0029-200605170000-33148-LSR-ec","ViolatesWQStandard"
"262","0029-200605170000-33153-LSR-ec","Highest95%SubmStnValues"
"263","0029-200605170000-33153-LSR-ec","Highest95%AmbientValues"
"264","0029-200605170000-33153-LSR-ec","ViolatesWQStandard"
"265","0029-200605170000-33155-LSR-ec","ViolatesLessProtectiveWQStandard"
"266","0029-200605240000-12832-LSR-ec","Highest95%AmbientValues"
"267","0029-200605240000-12832-LSR-ec","ViolatesWQStandard"
"268","0029-200605240000-13474-LSR-ec","Highest95%AmbientValues"
"269","0029-200605240000-13474-LSR-ec","ViolatesWQStandard"
"270","0029-200605240000-33136-LSR-ec","ViolatesLessProtectiveWQStandard"
"271","0029-200605240000-33137-QLQD-ec","ViolatesLessProtectiveWQStandard"
"272","0029-200605240000-33137-LQD-ec","ViolatesLessProtectiveWQStandard"
"273","0029-200606140000-12832-LSR-ec","Highest95%AmbientValues"
"274","0029-200606140000-12832-LSR-ec","ViolatesWQStandard"
"275","0029-200606140000-13077-QLQD-ec","Highest95%SubmStnValues"
"276","0029-200606140000-13077-LQD-ec","Highest95%SubmStnValues"
"277","0029-200606140000-13410-LSR-ec","Highest90%SubmValues"
"278","0029-200606140000-13410-LSR-ec","Highest95%SubmStnValues"
"279","0029-200606140000-13410-LSR-ec","Highest99%AmbientValues"
"280","0029-200606140000-13410-LSR-ec","ViolatesWQStandard"
"281","0029-200606140000-13411-LSR-ec","Highest90%SubmValues"
"282","0029-200606140000-13411-LSR-ec","Highest95%SubmStnValues"
"283","0029-200606140000-13411-LSR-ec","Highest99%AmbientValues"
"284","0029-200606140000-13411-LSR-ec","ViolatesWQStandard"
"285","0029-200606140000-13428-LSR-ec","Highest95%SubmStnValues"
"286","0029-200606140000-13428-LSR-ec","Highest95%AmbientValues"
"287","0029-200606140000-13428-LSR-ec","ViolatesWQStandard"
"288","0029-200606140000-13430-LSR-ec","Highest90%SubmValues"
"289","0029-200606140000-13430-LSR-ec","Highest99%AmbientValues"
"290","0029-200606140000-13430-LSR-ec","ViolatesWQStandard"
"291","0029-200606140000-13432-LSR-ec","Highest95%AmbientValues"
"292","0029-200606140000-13432-LSR-ec","ViolatesWQStandard"
"293","0029-200606140000-13434-LSR-ec","Highest95%AmbientValues"
"294","0029-200606140000-13434-LSR-ec","ViolatesWQStandard"
"295","0029-200606140000-13469-QLQD-ec","Highest95%SubmStnValues"
"296","0029-200606140000-13469-QLQD-ec","Highest95%AmbientValues"
"297","0029-200606140000-13469-QLQD-ec","ViolatesWQStandard"
"298","0029-200606140000-13469-LQD-ec","Highest95%SubmStnValues"
"299","0029-200606140000-13469-LQD-ec","Highest95%AmbientValues"
"300","0029-200606140000-13469-LQD-ec","ViolatesWQStandard"
"301","0029-200606140000-13474-LSR-ec","Highest90%SubmValues"
"302","0029-200606140000-13474-LSR-ec","Highest99%AmbientValues"
"303","0029-200606140000-13474-LSR-ec","ViolatesWQStandard"
"304","0029-200606140000-13484-LSR-ec","Highest90%SubmValues"
"305","0029-200606140000-13484-LSR-ec","Highest99%AmbientValues"
"306","0029-200606140000-13484-LSR-ec","ViolatesWQStandard"
"307","0029-200606140000-13513-LSR-ec","Highest90%SubmValues"
"308","0029-200606140000-13513-LSR-ec","Highest99%AmbientValues"
"309","0029-200606140000-13513-LSR-ec","ViolatesWQStandard"
"310","0029-200606140000-33134-QLQD-ec","Highest90%SubmValues"
"311","0029-200606140000-33134-QLQD-ec","Highest99%AmbientValues"
"312","0029-200606140000-33134-QLQD-ec","ViolatesWQStandard"
"313","0029-200606140000-33134-LQD-ec","Highest90%SubmValues"
"314","0029-200606140000-33134-LQD-ec","Highest99%AmbientValues"
"315","0029-200606140000-33134-LQD-ec","ViolatesWQStandard"
"316","0029-200606140000-33136-LSR-ec","ViolatesLessProtectiveWQStandard"
"317","0029-200606140000-33137-LSR-ec","ViolatesLessProtectiveWQStandard"
"318","0029-200606140000-33140-LSR-ec","Highest95%SubmStnValues"
"319","0029-200606140000-33140-LSR-ec","Highest99%AmbientValues"
"320","0029-200606140000-33140-LSR-ec","ViolatesWQStandard"
"321","0029-200606140000-33141-LSR-ec","Highest95%SubmStnValues"
"322","0029-200606140000-33141-LSR-ec","Highest95%AmbientValues"
"323","0029-200606140000-33141-LSR-ec","ViolatesWQStandard"
"324","0029-200606140000-33142-LSR-ec","Highest95%SubmStnValues"
"325","0029-200606140000-33142-LSR-ec","ViolatesLessProtectiveWQStandard"
"326","0029-200606140000-33145-LSR-ec","Highest99%AmbientValues"
"327","0029-200606140000-33145-LSR-ec","ViolatesWQStandard"
"328","0029-200606280000-12832-LSR-ec","ViolatesLessProtectiveWQStandard"
"329","0029-200606280000-13077-LSR-ec","Lowest10%SubmValues"
"330","0029-200606280000-13078-LSR-ec","ViolatesLessProtectiveWQStandard"
"331","0029-200606280000-13428-LSR-ec","Highest95%AmbientValues"
"332","0029-200606280000-13428-LSR-ec","ViolatesWQStandard"
"333","0029-200606280000-13430-QLQD-ec","Highest90%SubmValues"
"334","0029-200606280000-13430-QLQD-ec","Highest99%AmbientValues"
"335","0029-200606280000-13430-QLQD-ec","ViolatesWQStandard"
"336","0029-200606280000-13430-LQD-ec","Highest90%SubmValues"
"337","0029-200606280000-13430-LQD-ec","Highest99%AmbientValues"
"338","0029-200606280000-13430-LQD-ec","ViolatesWQStandard"
"339","0029-200606280000-13432-LSR-ec","Highest90%SubmValues"
"340","0029-200606280000-13432-LSR-ec","Highest99%AmbientValues"
"341","0029-200606280000-13432-LSR-ec","ViolatesWQStandard"
"342","0029-200606280000-13434-LSR-ec","ViolatesLessProtectiveWQStandard"
"343","0029-200606280000-13438-LSR-ec","ViolatesLessProtectiveWQStandard"
"344","0029-200606280000-13440-LSR-ec","Highest95%AmbientValues"
"345","0029-200606280000-13440-LSR-ec","ViolatesWQStandard"
"346","0029-200606280000-13442-LSR-ec","Highest95%AmbientValues"
"347","0029-200606280000-13442-LSR-ec","ViolatesWQStandard"
"348","0029-200606280000-13474-LSR-ec","Highest90%SubmValues"
"349","0029-200606280000-13474-LSR-ec","Highest99%AmbientValues"
"350","0029-200606280000-13474-LSR-ec","ViolatesWQStandard"
"351","0029-200606280000-13484-LSR-ec","Highest90%SubmValues"
"352","0029-200606280000-13484-LSR-ec","Highest99%AmbientValues"
"353","0029-200606280000-13484-LSR-ec","ViolatesWQStandard"
"354","0029-200606280000-13499-QLQD-ec","Highest95%AmbientValues"
"355","0029-200606280000-13499-QLQD-ec","ViolatesLessProtectiveWQStandard"
"356","0029-200606280000-13499-LQD-ec","Highest95%AmbientValues"
"357","0029-200606280000-13499-LQD-ec","ViolatesWQStandard"
"358","0029-200606280000-13513-LSR-ec","ViolatesLessProtectiveWQStandard"
"359","0029-200606280000-13517-LSR-ec","ViolatesLessProtectiveWQStandard"
"360","0029-200606280000-33134-LSR-ec","Highest90%SubmValues"
"361","0029-200606280000-33134-LSR-ec","Highest99%AmbientValues"
"362","0029-200606280000-33134-LSR-ec","ViolatesWQStandard"
"363","0029-200606280000-33136-LSR-ec","Highest90%SubmValues"
"364","0029-200606280000-33136-LSR-ec","Highest99%AmbientValues"
"365","0029-200606280000-33136-LSR-ec","ViolatesWQStandard"
"366","0029-200606280000-33145-LSR-ec","Highest95%AmbientValues"
"367","0029-200606280000-33145-LSR-ec","ViolatesWQStandard"
"368","0029-200606280000-33147-LSR-ec","ViolatesLessProtectiveWQStandard"
"369","0029-200606280000-33148-LSR-ec","ViolatesLessProtectiveWQStandard"
"370","0029-200606280000-33155-LSR-ec","ViolatesLessProtectiveWQStandard"
"371","0029-200607120000-12832-QLQD-ec","Highest90%SubmValues"
"372","0029-200607120000-12832-QLQD-ec","Highest99%AmbientValues"
"373","0029-200607120000-12832-QLQD-ec","ViolatesWQStandard"
"374","0029-200607120000-12832-LQD-ec","Highest90%SubmValues"
"375","0029-200607120000-12832-LQD-ec","Highest99%AmbientValues"
"376","0029-200607120000-12832-LQD-ec","ViolatesWQStandard"
"377","0029-200607120000-12848-LSR-ec","Highest95%SubmStnValues"
"378","0029-200607120000-12848-LSR-ec","Highest95%AmbientValues"
"379","0029-200607120000-12848-LSR-ec","ViolatesWQStandard"
"380","0029-200607120000-13078-LSR-ec","Highest90%SubmValues"
"381","0029-200607120000-13078-LSR-ec","Highest95%SubmStnValues"
"382","0029-200607120000-13078-LSR-ec","Highest99%AmbientValues"
"383","0029-200607120000-13078-LSR-ec","ViolatesWQStandard"
"384","0029-200607120000-13411-LSR-ec","ViolatesLessProtectiveWQStandard"
"385","0029-200607120000-13417-LSR-ec","Highest90%SubmValues"
"386","0029-200607120000-13417-LSR-ec","Highest95%SubmStnValues"
"387","0029-200607120000-13417-LSR-ec","Highest99%AmbientValues"
"388","0029-200607120000-13417-LSR-ec","ViolatesWQStandard"
"389","0029-200607120000-13428-LSR-ec","Highest95%AmbientValues"
"390","0029-200607120000-13428-LSR-ec","ViolatesWQStandard"
"391","0029-200607120000-13430-LSR-ec","Highest90%SubmValues"
"392","0029-200607120000-13430-LSR-ec","Highest99%AmbientValues"
"393","0029-200607120000-13430-LSR-ec","ViolatesWQStandard"
"394","0029-200607120000-13431-LSR-ec","ViolatesLessProtectiveWQStandard"
"395","0029-200607120000-13432-LSR-ec","Highest90%SubmValues"
"396","0029-200607120000-13432-LSR-ec","Highest99%AmbientValues"
