charid,QCcalc,A,B,Units,Source
ts,RPD,0.2,0.4,,DEQ04-LAB-0047-QAPP Version 2.0 Appendix A
tss,AbsDiff,2,4,,TSS SOP for DEQ lab version 2.4
tss,RPD,0.2,0.4,,DEQ04-LAB-0047-QAPP Version 2.0 Appendix A
w,AbsDiff,0.3,1,,DQM Version 5.0
wl,AbsDiff,0.02,0.04,,none
ca,RPD,0.2,0.4,%,V:\RVCOG\GoldRayDam\QA Summary SOU WQ Monitoring GRD Removal 2010-2014.pdf
ca,AbsDiff,1,2,mg/L,V:\RVCOG\GoldRayDam\QA Summary SOU WQ Monitoring GRD Removal 2010-2014.pdf
mg,RPD,0.2,0.4,%,V:\RVCOG\GoldRayDam\QA Summary SOU WQ Monitoring GRD Removal 2010-2014.pdf
mg,AbsDiff,1,2,mg/L,V:\RVCOG\GoldRayDam\QA Summary SOU WQ Monitoring GRD Removal 2010-2014.pdf
na,RPD,0.2,0.4,%,V:\RVCOG\GoldRayDam\QA Summary SOU WQ Monitoring GRD Removal 2010-2014.pdf
na,AbsDiff,1,2,mg/L,V:\RVCOG\GoldRayDam\QA Summary SOU WQ Monitoring GRD Removal 2010-2014.pdf
fe,RPD,0.2,0.4,%,V:\RVCOG\GoldRayDam\QA Summary SOU WQ Monitoring GRD Removal 2010-2014.pdf
fe,AbsDiff,0.015,0.03,mg/L,V:\RVCOG\GoldRayDam\QA Summary SOU WQ Monitoring GRD Removal 2010-2014.pdf
mn,RPD,0.2,0.4,%,V:\RVCOG\GoldRayDam\QA Summary SOU WQ Monitoring GRD Removal 2010-2014.pdf
mn,AbsDiff,0.02,0.04,mg/L,V:\RVCOG\GoldRayDam\QA Summary SOU WQ Monitoring GRD Removal 2010-2014.pdf
cl,RPD,0.2,0.4,%,V:\RVCOG\GoldRayDam\QA Summary SOU WQ Monitoring GRD Removal 2010-2014.pdf
cl,AbsDiff,1,2,mg/L,V:\RVCOG\GoldRayDam\QA Summary SOU WQ Monitoring GRD Removal 2010-2014.pdf
so4,RPD,0.2,0.4,%,V:\RVCOG\GoldRayDam\QA Summary SOU WQ Monitoring GRD Removal 2010-2014.pdf
so4,AbsDiff,0.5,1,mg/L,V:\RVCOG\GoldRayDam\QA Summary SOU WQ Monitoring GRD Removal 2010-2014.pdf
alk,RPD,0.2,0.4,%,V:\RVCOG\GoldRayDam\QA Summary SOU WQ Monitoring GRD Removal 2010-2014.pdf
alk,AbsDiff,12,24,mg/L,V:\RVCOG\GoldRayDam\QA Summary SOU WQ Monitoring GRD Removal 2010-2014.pdf
chl,RPD,0.05,0.1,%,V:\TenmileLake\LSSUfiles\Chlorophyll.002.pdf -for spectrophotometric chlorophyl method
chl,AbsDiff,0.5,0.1,ug/l,V:\TenmileLake\LSSUfiles\Tenmile LOQ Data.xlsx-for spectrophotometric chlorophyl method
mic,RPD,0.2,0.4,%,V:\TenmileLake\LSSUfiles\Tenmile LOQ Data.xlsx-for HPLC cyanotoxin method
mic,AbsDiff,0.2,0.4,ug/L,V:\TenmileLake\LSSUfiles\Tenmile LOQ Data.xlsx-for HPLC cyanotoxin method
ana,RPD,0.2,0.4,%,V:\TenmileLake\LSSUfiles\Tenmile LOQ Data.xlsx-for HPLC cyanotoxin method
ana,AbsDiff,0.2,0.4,ug/L,V:\TenmileLake\LSSUfiles\Tenmile LOQ Data.xlsx-for HPLC cyanotoxin method
cyl,RPD,0.2,0.4,%,V:\TenmileLake\LSSUfiles\Tenmile LOQ Data.xlsx-for HPLC cyanotoxin method
cyl,AbsDiff,0.2,0.4,ug/L,V:\TenmileLake\LSSUfiles\Tenmile LOQ Data.xlsx-for HPLC cyanotoxin method
sl,AbsDiff,0.1,0.2,,Beach QAPP Verson 2.0 DEQ03-LAB-0042-QAPP.pdf
sl,RPD,0.07,0.14,,Beach QAPP Verson 2.0 DEQ03-LAB-0042-QAPP.pdf
